BHID,From,To,Rock Type/ Alterations,Symbol,Rtype,Description,
BH1,63,64,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,64,65,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,65,66,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,66,67,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,67,68,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,68,69,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,69,70,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,70,71,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,71,72,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,72,73,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,73,74,Basalt,B-S,3,Dark  greenish grey hard hydrothermally altered basalt,
BH1,74,75,Basalt,B-S,3,Light greenish grey hard unaltered basalt,
BH1,75,76,Basalt,B-S,3,Light greenish grey hard unaltered basalt,
BH1,76,77,Basalt,B-S,3,Dark greenish grey fine grained  hydrothermaly altered basalt ,
BH1,77,78,Basalt,B-S,3,Dark greenish grey hydrothermally altered basalt at places contain serpentine,
BH1,78,79,Basalt,B-S,3,Dark greenish grey hydrothermally altered basalt at places contain serpentine,
BH1,79,80,Basalt,B-S,3,Dark greenish grey slightly fractured and fragmented hydrothermally altered basalt,
BH1,80,81,Basalt,B-S,3,Dark greenish grey slightly fractured and fragmented hydrothermally altered basalt,
BH1,81,82,Basalt,B-S,3,Dark greenish grey slightly fractured and fragmented hydrothermally altered basalt,
BH1,82,83,Basalt,B-S,3,Dark greenish grey slightly fractured and fragmented hydrothermally altered basalt,
BH1,83,84,Basalt,B-S,3,Dark greenish grey slightly fractured and fragmented hydrothermally altered basalt,
BH1,84,85,Basalt,B-S,3,Dark greenish grey slightly fractured and fragmented hydrothermally altered basalt,
BH1,85,86,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,86,87,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,87,88,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,88,89,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,89,90,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,90,91,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,91,92,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,92,93,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,93,94,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,94,95,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,95,96,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,96,97,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,97,98,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,98,99,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,99,100,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,100,101,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,101,102,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,102,103,Basalt,B-S,3,Light greenish grey fine grained hydrothermally altered basalt,
BH1,103,104,Basalt,B-Gr,1,Dark greenish grey fine grained glassy textured hydrothermally altered basalt,
BH1,104,105,Basalt,B-Gr,1,Dark greenish grey fine grained glassy textured hydrothermally altered basalt,
BH1,105,106,Basalt,B-Gr,1,Dark greenish grey fine grained glassy textured hydrothermally altered basalt,
BH1,106,107,Basalt,B-Gr,1,Dark greenish grey fine grained glassy textured hydrothermally altered basalt,
BH1,107,108,Basalt,B-Gr,1,Dark greenish grey fine grained glassy textured hydrothermally altered basalt,
BH1,108,109,Basalt,B-Gr,1,Dark greenish grey fine grained glassy textured hydrothermally altered basalt,
BH1,109,110,Basalt,B-Gr,1,Light greenish grey fractured and fragmented unaltered basalt,
BH1,110,111,Basalt,B-Gr,1,Light greenish grey fractured and fragmented unaltered basalt,
BH1,111,112,Basalt,B-Gr,1,Dark grey glassy textured fractured and fragmented hydrothermally altered basalt,
BH1,112,113,Basalt,B-Gr,1,Dark grey glassy textured fractured and fragmented hydrothermally altered basalt,
BH1,113,114,Basalt,B-Gr,1,Dark grey glassy textured fractured and fragmented hydrothermally altered basalt,
BH1,114,115,Basalt,B-Gr,1,Dark grey glassy textured fractured and fragmented hydrothermally altered basalt,
BH1,115,116,Basalt,B-Gr,1,Dark grey altered basalt,
BH1,116,117,Basalt,B-Gr,1,Dark grey altered basalt,
BH1,117,118,Basalt,B-Gr,1,Light greenish grey unaltered basalt,
BH1,118,119,Basalt,B-Gr,1,Light greenish grey unaltered basalt,
BH1,119,120,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,120,121,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,121,122,Basalt,B-S,3,Dark greenish grey fine grained hydrothermally altered basalt,
BH1,122,123,Basalt,B-S,3,Dark greenish grey fine grained hydrothermally altered basalt,
BH1,123,124,Basalt,B-S,3,Dark greenish grey fine grained hydrothermally altered basalt,
BH1,124,125,Basalt,B-S,3,Dark greenish grey fine grained hydrothermally altered basalt,
BH1,125,126,Basalt,B-S,3,Dark greenish grey fine grained hydrothermally altered basalt,
BH1,126,127,Basalt,B-S,3,Dark greenish grey fine grained hydrothermally altered basalt,
BH1,127,128,Basalt,B-S,3,Dark grey slightly fractured and fragmented hydrothermally altered basalt,
BH1,128,129,Basalt,B-S,3,Dark grey slightly fractured and fragmented hydrothermally altered basalt,
BH1,129,130,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,130,131,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,131,132,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,132,133,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,133,134,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,134,135,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,135,136,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,136,137,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,137,138,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,138,139,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,139,140,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,140,141,Basalt,B-S,3,Dark grey fractured and fragmented hydrothermally altered basalt,
BH1,141,142,Basalt,B-S,3,Dark grey fractured and fragmented hydrothermally altered basalt,
BH1,142,143,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,143,144,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,144,145,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,145,146,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,146,147,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,147,148,Basalt,B-S,3,Dark grey fractured and fragmented hydrothermally altered basalt,
BH1,148,149,Basalt,B-S,3,Dark grey fractured and fragmented hydrothermally altered basalt,
BH1,149,150,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,150,151,Basalt,B-S,3,Dark greenish grey glassy textured hydrothermally altered basalt at places contain serpentine,
BH1,151,152,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,152,153,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,153,154,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,154,155,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,155,156,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,156,157,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,157,158,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,158,159,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,159,160,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,160,161,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,161,162,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,162,163,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,163,164,Basalt,B-S,3,Dark grey hydrothermally altered basalt,
BH1,164,165,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,165,166,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,166,167,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,167,168,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,168,169,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
