BHID,From,To,Cu %,Cu ppm,Ag ppm,As ppm,Au ppm,Ce ppm,Dy ppm,Er ppm,Eu ppm,Gd ppm,Hg ppm,Ho ppm,La ppm,Lu ppm,Nd ppm,Pb ppm,Pr ppm,Sc ppm,Sm ppm,Tb ppm,Tm ppm,Y ppm,Yb ppm,Zn ppm
BH1,51,52,0,14.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.91,ND,ND,ND,ND,16.21,ND,ND,ND,7.81,2.39,17.83
BH1,52,53,0.01,64.67,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.92,ND,ND,ND,ND,12.69,ND,ND,ND,11.95,2.07,10.71
BH1,53,54,0.04,391.57,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.05,ND,ND,ND,ND,10.39,ND,ND,ND,8.34,1.67,10.95
BH1,54,55,0.37,3699.23,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.23,ND,ND,ND,ND,10.58,ND,ND,ND,11.03,3.04,18
BH1,55,56,0.06,594.24,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.88,ND,ND,ND,ND,14.1,ND,ND,ND,14.41,2.4,17.44
BH1,56,57,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,57,58,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,58,59,0,37.41,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.38,ND,ND,ND,ND,10.02,ND,ND,ND,11.43,2.01,9.74
BH1,59,60,0.01,92.96,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.02,ND,ND,ND,ND,10.33,ND,ND,ND,13.33,2.25,12
BH1,60,61,0.02,217,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.49,ND,ND,ND,ND,11.5,ND,ND,ND,12.57,2.2,16.97
BH1,61,62,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,62,63,0.01,131,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.9,ND,ND,ND,ND,13.47,ND,ND,ND,10.96,2.45,16.18
BH1,63,64,0.16,1597,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13.22,ND,ND,ND,12.49,2.87,22.15
BH1,64,65,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,65,66,0.01,108,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15.64,ND,ND,ND,9.08,1.68,43.03
BH1,66,67,0.09,938,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,16.98,ND,ND,ND,9.27,2.04,42.91
BH1,67,68,0.29,2918,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8.88,ND,ND,ND,8.82,1.85,21.43
BH1,68,69,1.11,11107,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.1,ND,ND,ND,ND,12.92,ND,ND,ND,13.91,2.3,22.04
BH1,69,70,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,70,71,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,71,72,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,72,73,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,73,74,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,74,75,0.01,64,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12.6,ND,ND,ND,10.2,1.56,11.93
BH1,75,76,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,76,77,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,77,78,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,78,79,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,79,80,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,80,81,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,81,82,0.08,820,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13.07,ND,ND,ND,7.35,2.58,19.88
BH1,82,83,0.24,2427,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6.32,ND,ND,ND,ND,27.13,ND,ND,ND,8.4,2.99,29.67
BH1,83,84,0.15,1458,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,22.63,ND,ND,ND,10.19,3.17,27.27
BH1,84,85,0.08,759,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,20.07,ND,ND,ND,10.33,2.39,21.13
BH1,85,86,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,86,87,0.05,514,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5.42,ND,ND,ND,ND,14.26,ND,ND,ND,9.09,1.73,15.24
BH1,87,88,0.11,1124,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15.57,ND,ND,ND,12.14,2.12,18.35
BH1,88,89,0.18,1788,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,10.97,ND,ND,ND,4.83,1.7,16.61
BH1,89,90,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,90,91,0,9.38,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,35.1,ND,ND,ND,5.42,2.92,22.25
BH1,91,92,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,92,93,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,93,94,0.01,119,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,32.26,ND,ND,ND,4.9,3.48,26.26
BH1,94,95,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,95,96,0.18,1844,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.94,ND,ND,ND,ND,31.79,ND,ND,ND,5.01,3.22,24.26
BH1,96,97,0.01,54.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.21,ND,ND,ND,ND,32.1,ND,ND,ND,3.98,3.09,24.94
BH1,97,98,0,46.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.84,ND,ND,ND,ND,32.3,ND,ND,ND,4.19,3.13,23.37
BH1,98,99,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,99,100,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,100,101,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,101,102,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,102,103,0.03,270,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4.85,ND,ND,ND,ND,14.56,ND,ND,ND,5.34,2.18,15.41
BH1,103,104,0.01,109,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5.06,ND,ND,ND,ND,18.3,ND,ND,ND,4.42,2.03,17.09
BH1,104,105,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,105,106,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,106,107,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,107,108,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,108,109,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,109,110,0.62,6159,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.43,ND,ND,ND,ND,7.03,ND,ND,ND,5.3,1.52,13.86
BH1,110,111,0.19,1861,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.83,ND,ND,ND,ND,13.98,ND,ND,ND,6.44,2.05,19.34
BH1,111,112,0.76,7621,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.76,ND,ND,ND,ND,25.53,ND,ND,ND,5.26,2.83,31.6
BH1,112,113,0.46,4639,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.27,ND,ND,ND,ND,16.39,ND,ND,ND,10.93,2.27,27.36
BH1,113,114,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,114,115,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,115,116,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,116,117,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,117,118,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,118,119,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,119,120,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,120,121,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,121,122,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,122,123,0,10.47,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.98,ND,ND,ND,ND,8.28,ND,ND,ND,6.73,1.23,15
BH1,123,124,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,124,125,0.01,70.55,-,-,-,-,-,-,-,-,-,-,3.69,-,-,-,-,11.16,-,-,-,12.21,1.42,11.23
BH1,125,126,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,126,127,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,127,128,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,128,129,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,129,130,0,19.14,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,4.02,ND,ND,ND,ND,9.43,ND,ND,ND,9.43,1.27,12.3
BH1,130,131,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,131,132,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,132,133,0.01,98.01,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.06,ND,ND,ND,8.21,1.38,14.91
BH1,133,134,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,134,135,0.12,1186,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13.41,ND,ND,ND,14.46,2.75,25.57
BH1,135,136,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,136,137,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,137,138,0,44.27,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11.65,ND,ND,ND,10.8,1.93,12.96
BH1,138,139,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,139,140,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,140,141,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,141,142,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,142,143,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,143,144,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,144,145,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,145,146,0.01,53.18,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.98,ND,ND,ND,7.4,1.36,10.13
BH1,146,147,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,147,148,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,148,149,0.01,129,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12.97,ND,ND,ND,8.56,1.51,24.54
BH1,149,150,0.09,870,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,16.13,ND,ND,ND,6.57,1.77,26.66
BH1,150,151,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,151,152,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,152,153,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,153,154,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,154,155,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,155,156,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,156,157,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,157,158,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,158,159,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,159,160,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,160,161,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,161,162,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,162,163,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,163,164,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,164,165,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,165,166,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,166,167,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,167,168,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,168,169,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,169,170,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,170,171,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,171,172,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,172,173,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,173,174,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,174,175,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,175,176,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,176,177,0,,,,,,,,,,,,,,,,,,,,,,,
